,workflow,nodes,networkspeed,filesystem,localData,tasksByNode,cpuHoursByNode
111,chipseq,2,1,nfs,0.0024003618021333443,0.0035340684195446195,0.0031706663704595293
112,chipseq,2,1,nfs,0.0011884173808474406,0.0371783997736094,0.004096899256964483
113,chipseq,2,1,nfs,0.0004161815975174193,0.03915747808855438,0.004272058586692131
114,fork,2,1,ceph,0.019607710905638353,0.02475247524262327,0.025089461397108947
115,fork,2,1,ceph,0.00980390294305337,0.014851485145573964,0.020062238595027697
116,fork,2,1,ceph,0.019607695634240904,0.02475247524262327,0.03089561963112052
117,fork,2,1,nfs,0.019607843133349245,0.02475247524262327,0.02512721007720282
118,fork,2,1,nfs,0.03921566578071667,0.04455445543672189,0.04494152654106023
119,fork,2,1,nfs,0.019607786890013062,0.02475247524262327,0.02532991853457059
120,group,2,1,ceph,0.0008303213676013544,0.007462686566050346,0.006138957754556054
121,group,2,1,ceph,0.008375102534991529,0.007462686566050346,0.00891788322155214
122,group,2,1,ceph,0.003985071331537321,0.007462686566050346,0.014279032964003577
123,group,2,1,nfs,0.020568473458201092,0.02238805969815104,0.03405165216853171
124,group,2,1,nfs,0.006934699583215968,0.014925373132100692,0.02077401949139688
125,group,2,1,nfs,0.024833995832699667,0.02238805969815104,0.03302360631520245
126,groupMultiple,2,1,ceph,0.020130768999091896,0.00624999999921875,0.05185524975865327
127,groupMultiple,2,1,ceph,0.018875252179371638,0.00624999999921875,0.05007781099188241
128,groupMultiple,2,1,ceph,0.006386145839481149,0.00624999999921875,0.04413539879775048
129,groupMultiple,2,1,nfs,0.006463394800338349,0.018749999997656253,0.042684545798533695
130,groupMultiple,2,1,nfs,0.027335953382215755,0.037499999995312505,0.0695672449558744
131,groupMultiple,2,1,nfs,0.005028116844045441,0.0124999999984375,0.011396907833513336
132,allIntoOne,4,1,ceph,0.43543570431209444,0.03217821780903833,0.5382676871253561
133,allIntoOne,4,1,ceph,0.4342448019740799,0.03217821780903833,0.47872933558823505
134,allIntoOne,4,1,ceph,0.4344205154771782,0.03217821780903833,0.5099951754027526
135,allIntoOne,4,1,nfs,0.4347208499663204,0.03217821780903833,0.5170965891036652
136,allIntoOne,4,1,nfs,0.44199641309830195,0.051980197999215744,0.5206603940233204
137,allIntoOne,4,1,nfs,0.43441853748610976,0.03217821780903833,0.5121391577409282
138,chain,4,1,ceph,0.015000700688001663,0.0274999999945,0.03258201951088813
